51.037045,-114.045156
51.03714,-114.044985
51.037511,-114.044781
51.037787,-114.044754
51.037926,-114.044738
51.038017,-114.044695
51.038135,-114.044631
51.038249,-114.044561
51.038398,-114.04448
51.038496,-114.044427
51.038664,-114.044346
51.038921,-114.044207
51.039072,-114.044121
51.039295,-114.044019
51.039518,-114.043896
51.039744,-114.043767
51.039932,-114.043665
51.040145,-114.043569
51.0403,-114.043477
51.040462,-114.043397
51.040661,-114.043279
51.040914,-114.043158
51.041023,-114.043106
51.041157,-114.04304
51.041164,-114.043299
51.041144,-114.043642
51.041158,-114.044018
51.041205,-114.044329
51.041313,-114.044576
51.041421,-114.044855
51.041515,-114.045091
51.041428,-114.05219
51.041272,-114.045595
